"Title" "MeanRating"
"2144" "Dance of the Dead (2008)" 4
"2145" "Dancemaker (1998)" 1
"2146" "Dancer in the Dark (2000)" 4
"2147" "Dancer Upstairs, The (2002)" 4
"2148" "Dancer, Texas Pop. 81 (1998)" 3
"2149" "Dances with Wolves (1990)" 4
"2150" "Dane Cook: Troublemaker (2014)" 4
"2151" "Dangerous Beauty (1998)" 4
"2152" "Dangerous Ground (1997)" 3
"2153" "Dangerous Liaisons (1988)" 4
"2154" "Dangerous Lives of Altar Boys, The (2002)" 4
"2155" "Dangerous Method, A (2011)" 3
"2156" "Dangerous Minds (1995)" 3
"2157" "Danny Collins (2015)" 4
"2158" "Danny Deckchair (2003)" 3
"2159" "Dante's Inferno: An Animated Epic (2010)" 3
"2160" "Dante's Peak (1997)" 3
"2161" "Darby O'Gill and the Little People (1959)" 3
"2162" "Daredevil (2003)" 2
"2163" "Daria: Is It College Yet? (2002)" 1
"2164" "Daria: Is It Fall Yet? (2000)" 4
"2165" "Darjeeling Limited, The (2007)" 3
"2166" "Dark Blue (2003)" 3
"2167" "Dark Blue World (Tmavomodrý svet) (2001)" 4
"2168" "Dark City (1998)" 4
"2169" "Dark Crystal, The (1982)" 4
"2170" "Dark Days (2000)" 4
"2171" "Dark Half, The (1993)" 2
"2172" "Dark Knight Rises, The (2012)" 4
"2173" "Dark Knight, The (2008)" 4
"2174" "Dark Passage (1947)" 4
"2175" "Dark Places (2015)" 2
"2176" "Dark Portals: The Chronicles of Vidocq  (Vidocq) (2001)" 4
"2177" "Dark Shadows (2012)" 2
"2178" "Dark Skies (2013)" 3
"2179" "Dark Star (1974)" 2
"2180" "Dark Tide (2012)" 2
"2181" "Dark Victory (1939)" 4
"2182" "Dark Water (2005)" 2
"2183" "Dark Water (Honogurai mizu no soko kara) (2002)" 4
"2184" "Darkest Hour (2017)" 4
"2185" "Darkest Hour, The (2011)" 2
"2186" "Darkman (1990)" 4
"2187" "Darkman II: Return of Durant, The (1995)" 2
"2188" "Darkness (2002)" 2
"2189" "Darkness Falls (2003)" 2
"2190" "Darkon (2006)" 3
"2191" "Darwin's Nightmare (2004)" 4
"2192" "Das Experiment (Experiment, The) (2001)" 4
"2193" "Date and Switch (2014)" 2
"2194" "Date Movie (2006)" 1
"2195" "Date Night (2010)" 3
"2196" "Date with an Angel (1987)" 1
"2197" "Daughters of the Dust (1991)" 4
"2198" "Dave (1993)" 4
"2199" "Dave Chappelle: Deep in the Heart of Texas (2017)" 4
"2200" "Dave Chappelle: Equanimity (2017)" 4
"2201" "Dave Chappelle: For What it's Worth (2004)" 4
"2202" "Dave Chappelle: Killin' Them Softly (2000)" 4
"2203" "Dave Chappelle: The Age of Spin (2017)" 4
"2204" "Dave Chappelle: The Bird Revelation (2017)" 4
"2205" "David Cross: Making America Great Again (2016)" 3
"2206" "Davy Crockett, King of the Wild Frontier (1955)" 3
"2207" "Dawn of the Dead (1978)" 4
"2208" "Dawn of the Dead (2004)" 4
"2209" "Dawn of the Planet of the Apes (2014)" 3
"2210" "Day & Night (2010)" 4
"2211" "Day After Tomorrow, The (2004)" 3
"2212" "Day After, The (1983)" 3
"2213" "Day at the Races, A (1937)" 4
"2214" "Day for Night (La Nuit Américaine) (1973)" 2
"2215" "Day of the Beast, The (Día de la Bestia, El) (1995)" 4
"2216" "Day of the Dead (1985)" 4
"2217" "Day of the Doctor, The (2013)" 5
"2218" "Day of the Jackal, The (1973)" 4
"2219" "Day of the Locust, The (1975)" 2
"2220" "Day of Wrath (Vredens dag) (1943)" 4
"2221" "Day the Earth Stood Still, The (1951)" 4
"2222" "Day the Earth Stood Still, The (2008)" 3
"2223" "Day Watch (Dnevnoy dozor) (2006)" 2
"2224" "Daybreakers (2010)" 3
"2225" "Daylight (1996)" 3
"2226" "Days of Being Wild (A Fei jingjyuhn) (1990)" 4
"2227" "Days of Heaven (1978)" 4
"2228" "Days of Thunder (1990)" 3
"2229" "Days of Wine and Roses (1962)" 4
"2230" "Daytrippers, The (1996)" 4
"2231" "Dazed and Confused (1993)" 4
"2232" "DC Super Hero Girls: Hero of the Year (2016)" 4
"2233" "De-Lovely (2004)" 4
"2234" "De platte jungle (1978)" 5
"2235" "Dead Again (1991)" 4
"2236" "Dead Alive (Braindead) (1992)" 4
"2237" "Dead Calm (1989)" 3
"2238" "Dead End (2003)" 4
"2239" "Dead Fury (2008)" 3
"2240" "Dead Hate the Living!, The (2000)" 3
"2241" "Dead Heat (1988)" 3
"2242" "Dead Like Me: Life After Death (2009)" 4
"2243" "Dead Man's Shoes (2004)" 5
"2244" "Dead Man (1995)" 4
"2245" "Dead Man on Campus (1998)" 2
"2246" "Dead Man Walking (1995)" 4
"2247" "Dead Meat (2004)" 4
"2248" "Dead Men Don't Wear Plaid (1982)" 3
"2249" "Dead of Night (1945)" 0
"2250" "Dead or Alive 2: Tôbôsha (2000)" 4
"2251" "Dead or Alive: Final (2002)" 2
"2252" "Dead or Alive: Hanzaisha (1999)" 4
"2253" "Dead Poets Society (1989)" 4
"2254" "Dead Pool, The (1988)" 3
"2255" "Dead Presidents (1995)" 3
"2256" "Dead Ringers (1988)" 4
"2257" "Dead Silence (2007)" 3
"2258" "Dead Snow (Dod sno) (2009)" 4
"2259" "Dead Snow 2: Red vs. Dead (2014)" 4
"2260" "Dead Zone, The (1983)" 4
"2261" "Deadfall (2012)" 2
"2262" "DeadHeads (2011)" 4
"2263" "Deadly Friend (1986)" 2
"2264" "Deadly Outlaw: Rekka (a.k.a. Violent Fire) (Jitsuroku Andô Noboru kyôdô-den: Rekka) (2002)" 4
"2265" "Deadpool (2016)" 4
"2266" "Deadpool 2 (2018)" 4
"2267" "Deadtime Stories (1987)" 1
"2268" "Deal, The (2008)" 2
"2269" "Dear Diary (Caro Diario) (1994)" 4
"2270" "Dear Frankie (2004)" 4
"2271" "Dear God (1996)" 4
"2272" "Dear John (2010)" 4
"2273" "Dear Wendy (2005)" 4
"2274" "Dear Zachary: A Letter to a Son About His Father (2008)" 4
"2275" "Death and the Maiden (1994)" 3
"2276" "Death at a Funeral (2007)" 3
"2277" "Death at a Funeral (2010)" 3
"2278" "Death Becomes Her (1992)" 3
"2279" "Death in Venice (Morte a Venezia) (1971)" 4
"2280" "Death Note (2017)" 2
"2281" "Death Note Rewrite: Genshisuru Kami (2007)" 4
"2282" "Death Note: Desu nôto (2006–2007)" 5
"2283" "Death of a Cyclist (Muerte de un ciclista) (1955)" 3
"2284" "Death of a President (2006)" 3
"2285" "Death of a Salesman (1985)" 3
"2286" "Death on the Nile (1978)" 3
"2287" "Death Proof (2007)" 3
"2288" "Death Race (2008)" 3
"2289" "Death Race 2 (2010)" 4
"2290" "Death Race 2000 (1975)" 4
"2291" "Death Sentence (2007)" 4
"2292" "Death Smiles on a Murderer (1973)" 2
"2293" "Death to Smoochy (2002)" 3
"2294" "Death Wish (1974)" 3
"2295" "Death Wish (2018)" 4
"2296" "Death Wish 2 (1982)" 2
"2297" "Death Wish 3 (1985)" 2
"2298" "Death Wish 4: The Crackdown (1987)" 1
"2299" "Death Wish 5: The Face of Death (1994)" 1
"2300" "Deathgasm (2015)" 5
"2301" "Deaths of Ian Stone, The (2007)" 3
"2302" "Deathtrap (1982)" 4
"2303" "Debt, The (2011)" 2
"2304" "Decade Under the Influence, A (2003)" 4
"2305" "Decalogue, The (Dekalog) (1989)" 5
"2306" "Deceiver (1997)" 3
"2307" "December Boys (2007)" 3
"2308" "Decline of the American Empire, The (Déclin de l'empire américain, Le) (1986)" 4
"2309" "Decline of Western Civilization Part II: The Metal Years, The (1988)" 3
"2310" "Decline of Western Civilization, The (1981)" 4
"2311" "Deconstructing Harry (1997)" 4
"2312" "Decoy Bride, The (2011)" 4
"2313" "Dedication (2007)" 4
"2314" "Deep Blue Sea (1999)" 3
"2315" "Deep End of the Ocean, The (1999)" 3
"2316" "Deep End, The (2001)" 2
"2317" "Deep Impact (1998)" 3
"2318" "Deep Red (Profondo rosso) (1975)" 3
"2319" "Deep Rising (1998)" 2
"2320" "Deepwater Horizon (2016)" 4
"2321" "Deer Hunter, The (1978)" 4
"2322" "Defending Your Life (1991)" 4
"2323" "Defiance (2008)" 4
"2324" "Defiant Ones, The (1958)" 4
"2325" "Definitely, Maybe (2008)" 3
"2326" "Déja Vu (1997)" 4
"2327" "Déja Vu (Deja Vu) (2006)" 3
"2328" "Delhi Belly (2011)" 4
"2329" "Delicatessen (1991)" 4
"2330" "Delirious (1991)" 3
"2331" "Delirium (2014)" 5
"2332" "Deliver Us from Evil (2006)" 4
"2333" "Deliver Us from Evil (2014)" 3
"2334" "Deliverance (1972)" 4
"2335" "Delivery Man (2013)" 3
"2336" "Delta Force 2 (Delta Force 2: The Colombian Connection) (1990)" 4
"2337" "Delta Force, The (1986)" 2
"2338" "Delta of Venus (1995)" 1
"2339" "Demolition (2016)" 3
"2340" "Demolition Man (1993)" 3
"2341" "Den, The (2013)" 4
"2342" "Denis Leary: No Cure for Cancer (1993)" 3
"2343" "Denise Calls Up (1995)" 5
"2344" "Dennis the Menace (1993)" 2
"2345" "Dennis the Menace Christmas, A (2007)" 2
"2346" "Dentist, The (1996)" 3
"2347" "Departed, The (2006)" 4
"2348" "Departures (Okuribito) (2008)" 4
"2349" "Der Herr Karl (1961)" 3
"2350" "Derailed (2002)" 0
"2351" "Derailed (2005)" 3
"2352" "Dernier Combat, Le (Last Battle, The) (1983)" 4
"2353" "Dersu Uzala (1975)" 4
"2354" "Descendants, The (2011)" 4
"2355" "Descent (2007)" 1
"2356" "Descent, The (2005)" 4
"2357" "Desert Hearts (1985)" 4
"2358" "Desierto (2016)" 2
"2359" "Designing Woman (1957)" 4
"2360" "Desk Set (1957)" 4
"2361" "Desperado (1995)" 4
"2362" "Desperate Living (1977)" 4
"2363" "Desperate Measures (1998)" 2
"2364" "Desperately Seeking Susan (1985)" 3
"2365" "Despicable Me (2010)" 4
"2366" "Despicable Me 2 (2013)" 4
"2367" "Despicable Me 3 (2017)" 2
"2368" "Despite the Falling Snow (2016)" 2
"2369" "Destiny Turns on the Radio (1995)" 2
"2370" "Destry Rides Again (1939)" 4
"2371" "Detachment (2011)" 4
"2372" "Detour (1945)" 4
"2373" "Detroit Rock City (1999)" 3
"2374" "Deuce Bigalow: European Gigolo (2005)" 3
"2375" "Deuce Bigalow: Male Gigolo (1999)" 2
"2376" "Deuces Wild (2002)" 2
"2377" "Devil's Backbone, The (Espinazo del diablo, El) (2001)" 3
"2378" "Devil's Own, The (1997)" 3
"2379" "Devil's Playground (2002)" 4
"2380" "Devil's Rejects, The (2005)" 4
"2381" "Devil (2010)" 3
"2382" "Devil and Daniel Johnston, The (2005)" 4
"2383" "Devil and Max Devlin, The (1981)" 2
"2384" "Devil Dog: The Hound of Hell (1978)" 4
"2385" "Devil in a Blue Dress (1995)" 3
"2386" "Devil Wears Prada, The (2006)" 4
"2387" "Devils on the Doorstep (Guizi lai le) (2000)" 4
"2388" "Diabolique (1996)" 3
"2389" "Diabolique (Les diaboliques) (1955)" 3
"2390" "Dial M for Murder (1954)" 4
"2391" "Diamond Arm, The (Brilliantovaya ruka) (1968)" 4
"2392" "Diamonds Are Forever (1971)" 4
"2393" "Diary of a Chambermaid (Journal d'une femme de chambre, Le) (1964)" 4
"2394" "Diary of a Country Priest (Journal d'un curé de campagne) (1951)" 4
"2395" "Diary of a Wimpy Kid (2010)" 4
"2396" "Diary of a Wimpy Kid: Dog Days (2012)" 3
"2397" "Diary of a Wimpy Kid: Rodrick Rules (2011)" 4
"2398" "Diary of the Dead (2007)" 3
"2399" "Dick (1999)" 4
"2400" "Dick Tracy (1990)" 3
"2401" "Dickie Roberts: Former Child Star (2003)" 2
"2402" "Dictator, The (2012)" 4
"2403" "Did You Hear About the Morgans? (2009)" 3
"2404" "Die Another Day (2002)" 3
"2405" "Die Frauen von Ravensbrück (2005)" 4
"2406" "Die Hard (1988)" 4
"2407" "Die Hard 2 (1990)" 3
"2408" "Die Hard: With a Vengeance (1995)" 4
"2409" "DiG! (2004)" 4
"2410" "Digging Up the Marrow (2014)" 3
"2411" "Digimon: The Movie (2000)" 3
"2412" "Dil To Pagal Hai (1997)" 4
"2413" "Dilemma, The (2011)" 2
"2414" "Diner (1982)" 4
"2415" "Dinner at Eight (1933)" 4
"2416" "Dinner for Schmucks (2010)" 3
"2417" "Dinner Game, The (Dîner de cons, Le) (1998)" 4
"2418" "Dinner Rush (2000)" 4
"2419" "Dinosaur (2000)" 3
"2420" "Dinotopia (2002)" 3
"2421" "Dirty 30 (2016)" 2
"2422" "Dirty Dancing (1987)" 3
"2423" "Dirty Dancing: Havana Nights (2004)" 3
"2424" "Dirty Dozen, The (1967)" 4
"2425" "Dirty Grandpa (2016)" 3
"2426" "Dirty Harry (1971)" 4
"2427" "Dirty Pretty Things (2002)" 4
"2428" "Dirty Rotten Scoundrels (1988)" 4
"2429" "Dirty Work (1998)" 3
"2430" "Disaster Movie (2008)" 1
"2431" "Disclosure (1994)" 4
"2432" "Disconnect (2012)" 2
"2433" "Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)" 4
"2434" "Disgrace (2008)" 4
"2435" "Dish, The (2001)" 4
"2436" "Disorganized Crime (1989)" 4
"2437" "Distinguished Gentleman, The (1992)" 4
"2438" "District 13 (Banlieue 13) (2004)" 4
"2439" "District 13: Ultimatum (Banlieue 13 - Ultimatum) (2009)" 4
"2440" "District 9 (2009)" 4
"2441" "Disturbia (2007)" 3
"2442" "Disturbing Behavior (1998)" 2
"2443" "Diva (1981)" 4
"2444" "Divergent (2014)" 3
"2445" "Divided We Fall (Musíme si pomáhat) (2000)" 4
"2446" "Divine Secrets of the Ya-Ya Sisterhood (2002)" 3
"2447" "Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)" 4
"2448" "Divo, Il (2008)" 4
"2449" "Divorce - Italian Style (Divorzio all'italiana) (1961)" 4
"2450" "Divorce, Le (2003)" 4
"2451" "Divorcee, The (1930)" 4
"2452" "Django Unchained (2012)" 4
"2453" "Do the Right Thing (1989)" 4
"2454" "Do You Remember Dolly Bell? (Sjecas li se, Dolly Bell) (1981)" 4
"2455" "DOA: Dead or Alive (2006)" 2
"2456" "Dobermann (1997)" 2
"2457" "Doc Hollywood (1991)" 3
"2458" "Doctor Dolittle (1967)" 4
"2459" "Doctor Strange (2016)" 4
"2460" "Doctor Who: A Christmas Carol (2010)" 5
"2461" "Doctor Who: Last Christmas (2014)" 4
"2462" "Doctor Who: Planet of the Dead (2009)" 3
"2463" "Doctor Who: The Doctor, the Widow and the Wardrobe (2011)" 4
"2464" "Doctor Who: The Husbands of River Song (2015)" 4
"2465" "Doctor Who: The Next Doctor (2008)" 3
"2466" "Doctor Who: The Runaway Bride (2007)" 4
"2467" "Doctor Who: The Time of the Doctor (2013)" 4
"2468" "Doctor Who: The Waters of Mars (2009)" 4
"2469" "Doctor Who: Voyage Of The Damned (2007)" 4
"2470" "Doctor Zhivago (1965)" 4
"2471" "Doctor, The (1991)" 4
"2472" "Dodgeball: A True Underdog Story (2004)" 4
"2473" "Dog Day Afternoon (1975)" 4
"2474" "Dog Days (Hundstage) (2001)" 3
"2475" "Dog Park (1998)" 2
"2476" "Dog Soldiers (2002)" 5
"2477" "Dogfight (1991)" 4
"2478" "Dogma (1999)" 4
"2479" "Dogman (2018)" 4
"2480" "Dogtown and Z-Boyz (2001)" 4
"2481" "Dogville (2003)" 4
"2482" "Dolce Vita, La (1960)" 4
"2483" "Dolls (1987)" 2
"2484" "Dolls (2002)" 4
"2485" "Dolores Claiborne (1995)" 3
"2486" "Domestic Disturbance (2001)" 2
"2487" "Dominick and Eugene (1988)" 3
"2488" "Dominion: Prequel to the Exorcist (2005)" 2
"2489" "Domino (2005)" 3
"2490" "Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)" 3
"2491" "Don't Be Afraid of the Dark (2010)" 3
"2492" "Don't Breathe (2016)" 3
"2493" "Don't Look Now (1973)" 0
"2494" "Don't Look Now: We're Being Shot At (La grande vadrouille) (1966)" 4
"2495" "Don't Move (Non ti muovere) (2004)" 4
"2496" "Don't Say a Word (2001)" 2
"2497" "Don't Tell Mom the Babysitter's Dead (1991)" 2
"2498" "Don Camillo in Moscow (1965)" 3
"2499" "Don Jon (2013)" 3
"2500" "Don Juan DeMarco (1995)" 4
"2501" "Donnie Brasco (1997)" 4
"2502" "Donnie Darko (2001)" 4
"2503" "Doom (2005)" 2
"2504" "Doom Generation, The (1995)" 3
"2505" "Doomsday (2008)" 4
"2506" "Door in the Floor, The (2004)" 2
"2507" "Doors, The (1991)" 3
"2508" "Dope (2015)" 4
"2509" "Dorian Gray (2009)" 3
"2510" "Double Dragon (1994)" 1
"2511" "Double Happiness (1994)" 4
"2512" "Double Impact (1991)" 3
"2513" "Double Indemnity (1944)" 4
"2514" "Double Jeopardy (1999)" 3
"2515" "Double Life of Veronique, The (Double Vie de Véronique, La) (1991)" 4
"2516" "Double Life, A (1947)" 2
"2517" "Double Take (2001)" 2
"2518" "Double Team (1997)" 4
"2519" "Double Trouble (1992)" 1
"2520" "Double, The (2011)" 2
"2521" "Double, The (2013)" 4
"2522" "Doubt (2008)" 3
"2523" "Doug's 1st Movie (1999)" 2
"2524" "Down and Out in Beverly Hills (1986)" 3
"2525" "Down Argentine Way (1940)" 5
"2526" "Down by Law (1986)" 4
"2527" "Down in the Valley (2005)" 3
"2528" "Down Periscope (1996)" 3
"2529" "Down Terrace (2009)" 4
"2530" "Down to Earth (2001)" 2
"2531" "Down to the Bone (2004)" 3
"2532" "Down to You (2000)" 2
"2533" "Down with Love (2003)" 3
"2534" "Downfall (Untergang, Der) (2004)" 4
"2535" "Dr. Dolittle (1998)" 3
"2536" "Dr. Dolittle 2 (2001)" 2
"2537" "Dr. Giggles (1992)" 4
"2538" "Dr. Goldfoot and the Bikini Machine (1965)" 5
"2539" "Dr. Horrible's Sing-Along Blog (2008)" 4
"2540" "Dr. Jekyll and Mr. Hyde (1931)" 2
"2541" "Dr. Jekyll and Mr. Hyde (1941)" 4
"2542" "Dr. No (1962)" 4
"2543" "Dr. Phibes Rises Again (1972)" 4
"2544" "Dr. Seuss' The Lorax (2012)" 3
"2545" "Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)" 4
"2546" "Dr. T and the Women (2000)" 2
"2547" "Dr. Terror's House of Horrors (1965)" 2
"2548" "Dracula (1931)" 3
"2549" "Dracula (1979)" 4
"2550" "Dracula (Bram Stoker's Dracula) (1992)" 3
"2551" "Dracula 2000 (2000)" 2
"2552" "Dracula Untold (2014)" 4
"2553" "Dracula: Dead and Loving It (1995)" 2
"2554" "Drag Me to Hell (2009)" 4
"2555" "Dragnet (1987)" 2
"2556" "Dragon Ball GT: A Hero's Legacy (Doragon bôru GT: Goku gaiden! Yuki no akashi wa su-shin-chu) (1997)" 2
"2557" "Dragon ball Z 04: Lord Slug (1991)" 4
"2558" "Dragon Ball Z Gaiden: The Plot to Destroy the Saiyans (1993)" 4
"2559" "Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyu marugoto chô kessen) (1990)" 3
"2560" "Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu) (1990)" 4
"2561" "Dragon Ball Z: Bardock - The Father of Goku (Doragon bôru Z: Tatta hitori no saishuu kessen - Furiiza ni itonda Z senshi Kakarotto no chichi) (1990)" 4
"2562" "Dragon Ball Z: Battle of Gods (2013)" 4
"2563" "Dragon Ball Z: Bio-Broly (Doragon bôru Z 11: Supâ senshi gekiha! Katsu no wa ore da) (1994)" 4
"2564" "Dragon Ball Z: Bojack Unbound (Doragon bôru Z 9: Ginga girigiri!! Butchigiri no sugoi yatsu) (1993)" 4
"2565" "Dragon Ball Z: Broly - The Legendary Super Saiyan (Doragon bôru Z 8: Moetsukiro!! Nessen retsusen-chô gekisen) (1993)" 4
"2566" "Dragon Ball Z: Broly Second Coming (Doragon bôru Z 10: Kiken na futari! Supâ senshi wa nemurenai) (1994)" 4
"2567" "Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô) (1991)" 4
"2568" "Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese) (1989)" 4
"2569" "Dragon Ball Z: Resurrection of F (2015)" 4
"2570" "Dragon Ball Z: Super Android 13! (Doragon bôru Z 7: Kyokugen batoru!! San dai supâ saiyajin) (1992)" 4
"2571" "Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993)" 3
"2572" "Dragon Ball Z: The Return of Cooler (Doragon bôru Z 6: Gekitotsu! Hyakuoku pawâ no senshi) (1992)" 4
"2573" "Dragon Ball: Mystical Adventure (Doragon bôru: Makafushigi dai bôken) (1988)" 4
"2574" "Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime) (1987)" 3
"2575" "Dragon Ball: The Curse Of The Blood Rubies (Doragon bôru: Shenron no densetsu) (1986)" 4
"2576" "Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi) (1996)" 4
"2577" "Dragon Blade (2015)" 2
"2578" "Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982)" 4
"2579" "Dragon Seed (1944)" 4
"2580" "Dragon: The Bruce Lee Story (1993)" 3
"2581" "Dragonfly (2002)" 4
"2582" "Dragonheart (1996)" 3
"2583" "Dragonheart 2: A New Beginning (2000)" 4
"2584" "Dragonheart 3: The Sorcerer's Curse (2015)" 4
"2585" "Dragons: Gift of the Night Fury (2011)" 5
"2586" "Dragonslayer (1981)" 4
"2587" "Drained (O cheiro do Ralo) (2006)" 4
"2588" "Draughtsman's Contract, The (1982)" 4
"2589" "Dream a Little Dream (1989)" 2
"2590" "Dream for an Insomniac (1996)" 4
"2591" "Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)" 5
"2592" "Dream Team, The (1989)" 3
"2593" "Dreamcatcher (2003)" 3
"2594" "Dreamer: Inspired by a True Story (2005)" 2
"2595" "Dreamers, The (2003)" 4
"2596" "Dreamgirls (2006)" 3
"2597" "Dreamlife of Angels, The (Vie revée des anges, La) (1998)" 4
"2598" "Dreamscape (1984)" 3
"2599" "Dredd (2012)" 4
"2600" "Dressed to Kill (1980)" 1
"2601" "Dresser, The (1983)" 3
"2602" "Drift (2013)" 2
"2603" "Drillbit Taylor (2008)" 4
"2604" "Drinking Buddies (2013)" 2
"2605" "Drive (2011)" 4
"2606" "Drive Angry (2011)" 4
"2607" "Drive Hard (2014)" 2
"2608" "Drive Me Crazy (1999)" 2
"2609" "Driven (2001)" 3
"2610" "Driving Miss Daisy (1989)" 4
"2611" "Drop Dead Fred (1991)" 3
"2612" "Drop Dead Gorgeous (1999)" 3
"2613" "Drop Zone (1994)" 3
"2614" "Drowning by Numbers (1988)" 4
"2615" "Drowning Mona (2000)" 1
"2616" "Drugstore Cowboy (1989)" 4
"2617" "Drumline (2002)" 3
"2618" "Drunken Master (Jui kuen) (1978)" 4
"2619" "Drunks (1995)" 3
"2620" "Duchess, The (2008)" 4
"2621" "Duck Amuck (1953)" 4
"2622" "Duck Soup (1933)" 4
"2623" "Duck, You Sucker (1971)" 4
"2624" "Dude, Where's My Car? (2000)" 3
"2625" "Dudley Do-Right (1999)" 2
"2626" "Due Date (2010)" 3
"2627" "Duel (1971)" 3
"2628" "Duel in the Sun (1946)" 5
"2629" "Duellists, The (1977)" 4
"2630" "Duets (2000)" 3
"2631" "Dukes of Hazzard, The (2005)" 2
"2632" "Duma (2005)" 4
"2633" "Dumb & Dumber (Dumb and Dumber) (1994)" 3
"2634" "Dumb and Dumber To (2014)" 2
"2635" "Dumb and Dumberer: When Harry Met Lloyd (2003)" 2
"2636" "Dumbo (1941)" 3
"2637" "Dummy (2002)" 4
"2638" "Dune (1984)" 3
"2639" "Dune (2000)" 4
"2640" "Dungeons & Dragons (2000)" 2
"2641" "Dunkirk (2017)" 3
"2642" "Dunston Checks In (1996)" 2
"2643" "Duplex (2003)" 2
"2644" "Duplicity (2009)" 2
"2645" "Dust (2001)" 2
"2646" "Dutch (1991)" 2
"2647" "Dying of the Light (2014)" 2
"2648" "Dying Young (1991)" 4
"2649" "Dylan Moran: Monster (2004)" 5
"2650" "E.T. the Extra-Terrestrial (1982)" 4
"2651" "Eagle Eye (2008)" 3
"2652" "Eagle Has Landed, The (1976)" 3
"2653" "Eagle, The (2011)" 2
"2654" "Ear, The (Ucho) (1970)" 4
"2655" "Earth (2007)" 4
"2656" "Earth Girls Are Easy (1988)" 2
"2657" "Earth vs. the Flying Saucers (1956)" 1
"2658" "Earthlings (2006)" 4
"2659" "Earthquake (1974)" 3
"2660" "Earthsea (Legend of Earthsea) (2004)" 3
"2661" "East-West (Est-ouest) (1999)" 4
"2662" "East is East (1999)" 3
"2663" "East of Eden (1955)" 4
"2664" "Easter Parade (1948)" 3
"2665" "Eastern Promises (2007)" 4
"2666" "Easy A (2010)" 4
"2667" "Easy Money (1983)" 4
"2668" "Easy Rider (1969)" 4
"2669" "Eat Drink Man Woman (Yin shi nan nu) (1994)" 4
"2670" "Eat Pray Love (2010)" 4
"2671" "Eaten Alive (1977)" 2
"2672" "Echelon Conspiracy (2009)" 2
"2673" "Ed (1996)" 3
"2674" "Ed Wood (1994)" 4
"2675" "Eddie (1996)" 3
"2676" "Eddie and the Cruisers (1983)" 2
"2677" "Eddie Izzard: Dress to Kill (1999)" 4
"2678" "Eddie Izzard: Glorious (1997)" 4
"2679" "Eddie Murphy Delirious (1983)" 4
"2680" "Eddie Murphy Raw (1987)" 4
"2681" "Eddie the Eagle (2016)" 3
"2682" "Eden (2014)" 4
"2683" "Eden Lake (2008)" 4
"2684" "Edge of Heaven, The (Auf der anderen Seite) (2007)" 4
"2685" "Edge of Love, The (2008)" 3
"2686" "Edge of Tomorrow (2014)" 4
"2687" "Edge, The (1997)" 3
"2688" "Edmond (2005)" 4
"2689" "EDtv (1999)" 3
"2690" "Educating Rita (1983)" 3
"2691" "Education, An (2009)" 4
"2692" "Edukators, The (Die Fetten Jahre sind vorbei) (2004)" 4
"2693" "Edward Scissorhands (1990)" 4
"2694" "Eichmann (2007)" 5
"2695" "Eight Below (2006)" 3
"2696" "Eight Crazy Nights (Adam Sandler's Eight Crazy Nights) (2002)" 2
"2697" "Eight Legged Freaks (2002)" 3
"2698" "Eight Men Out (1988)" 4
"2699" "Eighth Day, The (Huitieme jour, Le) (1996)" 4
"2700" "Einstein and Eddington (2008)" 4
"2701" "El Cid (1961)" 3
"2702" "Election (1999)" 4
"2703" "Elections Day (2007)" 4
"2704" "Electra Glide in Blue (1973)" 4
"2705" "Electroma (2006)" 1
"2706" "Elektra (2005)" 2
"2707" "Elektra Luxx (2010)" 2
"2708" "Element of Crime, The (Forbrydelsens Element) (1984)" 4
"2709" "Elephant (2003)" 4
"2710" "Elephant Man, The (1980)" 4
"2711" "Elevator to the Gallows (a.k.a. Frantic) (Ascenseur pour l'échafaud) (1958)" 4
"2712" "Elf (2003)" 4
"2713" "Elite Squad (Tropa de Elite) (2007)" 4
"2714" "Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010)" 4
"2715" "Elizabeth (1998)" 4
"2716" "Elizabeth: The Golden Age (2007)" 3
"2717" "Elizabethtown (2005)" 4
"2718" "Ella Enchanted (2004)" 3
"2719" "Elle (2016)" 4
"2720" "Elling (2001)" 4
"2721" "Elmer Gantry (1960)" 4
"2722" "Elsa & Fred (2005)" 4
"2723" "Elsa & Fred (2014)" 2
